"","stats.usersrated","stats.numweights","stats.owned","details.name","stats.average","stats.averageweight","details.yearpublished"
"608",266,17,311,"Elfenroads",7.15087,2.4706,1992
"609",4492,358,5459,"Blood Bowl (Third Edition)",7.57274,2.9721,1994
"610",2520,263,3418,"Nuclear War",6.21832,1.4487,1965
"611",4319,425,5312,"Talisman",6.40353,2.1835,1983
"612",2085,220,3411,"Escape from Colditz",6.61378,2.2273,1973
"613",79,4,159,"Pizza Party",5.24747,1.25,1987
"614",554,60,971,"Galaxy: The Dark Ages",6.22986,2.4,2000
"615",401,48,839,"Tyranno Ex",6.47635,2.3542,1990
"616",361,35,408,"Fast Food Franchise",6.34842,2.1714,1992
"617",37,4,108,"Oregon Trail",5.48649,2.25,1981
"618",8,1,22,"Over the Edge",5.6875,2,1983
"619",347,40,694,"X-Men Alert",6.15464,1.6,1992
"620",377,30,752,"Chill: Black Morn Manor",6.0444,2.1,1985
"621",7,1,13,"Triple Threat Baseball!",6.21429,1,1999
"622",42,7,218,"Chinese Civil War",6.02024,2.8571,1979
"623",41,7,162,"The Sun Never Sets",6.91463,2.8571,1997
"624",872,151,1941,"Breakout: Normandy",7.66202,3.3642,1992
"625",71,10,141,"Escape from New York",5.38169,1.6,1981
"626",21,3,59,"Don't Make Me Laugh",3.64286,1,1996
"627",296,34,505,"San Francisco",6.19047,2.5882,2000
"628",2,1,7,"Ultimate Soccer of America",6.5,5,1999
"629",49,9,350,"Rio Grande:  The Battle of Valverde",5.42857,3.4444,1991
"630",94,27,509,"Trajan",6.79154,3.2593,1991
"631",52,11,312,"Germania",6.79577,2.9091,1995
"632",6,1,15,"Wicked Words",5.66667,4,1999
"633",53,12,230,"War of Resistance",6.86226,4.5,1998
"634",427,66,1135,"The Game of France, 1940: German Blitzkrieg in the West",5.71618,2.7576,1972
"635",189,31,578,"Bitter Woods",6.87249,3.1935,1998
"636",463,52,673,"Trax",6.51616,2.1731,1980
"637",21,2,79,"Dutch Mountains",5.16667,1,2000
"638",16,1,35,"Shocks & Scares",5.875,1,1983
"639",246,28,542,"Minos",6.43037,2.6429,1991
"640",105,10,175,"Maul of America",4.63571,1.5,1998
"641",221,34,706,"Panzerkrieg",6.33575,3.2353,1978
"642",147,18,318,"Domain",6.05807,1.7778,1983
"643",351,50,974,"Thunder at Cassino",7.00827,3.18,1987
"644",412,48,440,"Black Vienna",7.03381,2.5833,1987
"645",65,5,69,"Lunatix Loop",6.26538,2,2000
"646",27,3,62,"Balmy Balloonists",5.68518,2.6667,2000
"647",611,101,1438,"Turning Point: Stalingrad",7.18437,3.3366,1989
"648",12222,1063,14808,"Battle Line",7.42393,1.904,2000
