tconst	averageRating	numVotes
tt0073267	6.5	146
tt2085956	7.4	31
tt5462864	7.2	6
tt8093868	8.2	41
tt7252988	8.0	55
tt0614721	8.1	192
tt0922794	9.0	93
tt5085832	8.3	63
tt0072245	4.7	871
tt0492940	6.6	1045
tt0296393	5.0	8
tt6591032	8.6	10
tt0229300	5.6	414
tt0870165	6.1	29
tt0223345	5.1	18
tt0534606	7.1	7
tt0684179	8.2	455
tt1556394	8.2	18
tt4365468	6.2	5
tt0350668	7.4	16
tt0514459	2.9	429
tt2954138	5.9	16
tt8463586	8.8	5
tt0152291	6.0	29
tt0058240	5.3	6
tt1134837	8.3	316
tt4859614	8.4	687
tt5689092	4.4	5
tt4131564	8.5	519
tt0280706	6.6	37
tt3152960	7.4	5
tt0502800	8.2	404
tt9338768	7.0	6
tt0814761	5.9	12
tt2515540	7.9	23
tt4761540	8.5	54
tt0457523	6.0	362
tt0284607	7.4	544
tt1579782	6.7	59
tt0973504	7.5	11
tt2704560	6.7	6
tt0827888	8.6	15
tt5191072	6.6	64
tt0540666	7.3	46
tt0863490	7.5	1081
tt2717536	7.2	13
tt0195082	5.5	6
tt0589759	8.1	174
tt1017657	7.2	29
tt4924384	7.6	7
tt5483578	8.3	3102
tt0115478	6.0	546
tt1032149	7.4	5
tt1270250	8.2	6
tt2079093	7.9	17
tt2636144	9.6	8
tt0665810	6.9	14
tt3250466	7.5	707
tt0083549	7.7	2497
tt1601283	7.6	7
tt0728887	2.3	6
tt5076102	8.8	12
tt8797478	3.8	8
tt1340210	8.3	23
tt1539111	7.2	5
tt7088620	5.7	295
tt0716921	6.9	156
tt3991608	7.2	8
tt2606014	8.6	9
tt0219984	4.8	12
tt0080756	6.1	3662
tt0102852	5.5	14
tt0846676	6.8	11
tt0037238	5.4	10
tt8315654	7.8	75
tt6871294	8.0	5
tt3827172	6.3	6
tt1071958	8.0	5
tt0450929	7.2	23
tt0522614	8.1	41
tt0034127	6.2	171
tt2271329	6.4	5
tt1062168	8.7	34
tt0534750	8.6	676
tt0044125	6.2	578
tt6983814	4.2	6
tt0862900	7.2	69
tt1391889	6.6	14
tt0078767	6.2	32920
tt8570040	7.3	9
tt2950842	8.0	6
tt2289149	6.2	19
tt1239763	6.8	16
tt0800228	6.1	486
tt0485531	8.4	7
tt0995069	8.2	5
tt0149337	5.6	9
tt0705085	6.8	29
tt1296140	5.8	5
tt7857562	3.6	19
tt1601468	5.4	9
tt0320668	6.4	881
tt1202010	2.4	5
tt0901681	9.0	10
tt4603234	7.3	25
tt4716214	8.0	13
tt2312676	7.2	15
tt0140695	7.8	32
tt0453350	3.7	7
tt0080641	6.3	7230
tt2362055	7.9	678
tt8558504	7.3	7
tt0311118	7.1	26
tt0815120	7.8	639
tt2762570	7.0	82
tt3268312	7.7	407
tt0185468	4.6	12
tt3238528	7.4	51
tt0556117	7.7	7
tt1460735	8.2	10
tt1213293	6.8	8
tt2080659	7.5	145
tt0877508	6.6	72
tt2960024	5.9	7
tt2365505	7.9	29
tt1349646	1.7	357
tt10470826	8.3	7
tt3578910	8.2	734
tt1884371	6.5	8
tt0960844	3.0	155
tt3520444	6.0	10
tt0060687	7.6	246
tt0057934	5.0	16
tt0189870	6.4	59
tt0382053	6.0	577
tt0094728	5.4	33
tt8160246	7.3	12
tt0256401	6.6	9
tt0503646	5.8	60
tt5836254	7.6	440
tt2170576	7.9	16
tt5507870	7.4	5
tt0067884	7.3	159
tt0371958	4.7	38
tt10617490	8.8	5
tt1863895	7.9	7
tt0550446	8.2	22
tt0078187	7.0	1070
tt2186406	8.6	16
tt0817967	7.7	9
tt9001798	8.1	283
tt1179891	5.4	51531
tt0553476	6.9	46
tt6009018	8.8	44
tt1079229	6.3	46
tt1777548	5.6	5
tt1980119	7.5	6
tt1112974	9.1	9
tt8399482	6.6	5
tt6118134	4.9	38
tt0465834	6.7	41
tt3869282	6.3	9
tt0408324	6.3	6
tt0110962	7.1	24
tt0617536	7.5	6
tt0078121	6.3	48
tt4819604	4.9	64
tt1426883	7.1	7
tt0841958	6.8	24
tt8011852	6.6	9
tt0477574	5.8	22
tt8563028	6.2	25
tt0584817	8.7	11
tt0035233	6.5	234
tt0827858	7.9	60
tt4277794	7.6	14
tt2063141	8.0	9
tt2005517	7.5	18
tt0300346	4.7	66
tt7234240	7.0	190
tt1350195	6.0	17
